beta_1,beta_2,t_b,xi,n,givenModel,t_b_estMean,t_b_estVar,selRate_NLL,selRate_AIC,selRate_BIC,"selNum_NLL_Gev(0, 0)","selNum_NLL_Gev(0, 1)","selNum_NLL_Gev(1, 0)","selNum_NLL_Gev(1, 1)","selNum_AIC_Gev(0, 0)","selNum_AIC_Gev(0, 1)","selNum_AIC_Gev(1, 0)","selNum_AIC_Gev(1, 1)","selNum_BIC_Gev(0, 0)","selNum_BIC_Gev(0, 1)","selNum_BIC_Gev(1, 0)","selNum_BIC_Gev(1, 1)"
2,-4,0.5,0.1,30,"GEV(1, 1)",0.509433333,0.003193094,0.998,0.638,0.454,1,1,0,998,2,359,1,638,2,543,1,454
2,-4,0.5,0.2,30,"GEV(1, 1)",0.508866667,0.003186791,0.997,0.644,0.476,2,1,0,997,3,353,0,644,4,517,3,476
2,0,0,0,30,"GEV(1, 0)",NA,NA,0,0.171,0.442,0,1,0,999,15,370,171,444,75,301,442,182
2,0,0,-0.1,30,"GEV(1, 0)",NA,NA,0,0.139,0.38,0,6,0,994,11,375,139,475,72,330,380,218
2,0,0,-0.2,30,"GEV(1, 0)",NA,NA,0,0.156,0.366,0,10,0,990,8,345,156,491,62,312,366,260
2,0,0,0.1,30,"GEV(1, 0)",NA,NA,0,0.165,0.429,0,3,0,997,9,326,165,500,76,291,429,204
2,0,0,0.2,30,"GEV(1, 0)",NA,NA,0,0.173,0.45,0,0,0,1000,5,328,173,494,46,282,450,222
2,1,0.5,0,30,"GEV(1, 1)",0.4978,0.06610571,0.989,0.484,0.213,0,11,0,989,5,357,154,484,8,343,436,213
2,1,0.5,-0.1,30,"GEV(1, 1)",0.511933333,0.062508993,0.981,0.502,0.216,2,17,0,981,7,349,142,502,11,366,407,216
2,1,0.5,-0.2,30,"GEV(1, 1)",0.515033333,0.06019753,0.978,0.514,0.277,1,21,0,978,4,345,137,514,5,355,363,277
2,1,0.5,0.1,30,"GEV(1, 1)",0.472133333,0.065575691,0.995,0.523,0.232,0,5,0,995,2,328,147,523,2,360,406,232
2,1,0.5,0.2,30,"GEV(1, 1)",0.4809,0.066229197,0.994,0.55,0.249,0,6,0,994,1,311,138,550,5,347,399,249
2,2,0.5,0,30,"GEV(1, 1)",0.499733333,0.032287772,0.985,0.54,0.284,0,15,0,985,2,402,56,540,3,511,202,284
2,2,0.5,-0.1,30,"GEV(1, 1)",0.502,0.032312757,0.984,0.53,0.29,0,16,0,984,3,414,53,530,5,505,200,290
2,2,0.5,-0.2,30,"GEV(1, 1)",0.5097,0.032706394,0.984,0.586,0.349,0,16,0,984,3,367,44,586,3,468,180,349
2,2,0.5,0.1,30,"GEV(1, 1)",0.4857,0.028120297,0.98,0.534,0.302,0,20,0,980,10,413,43,534,13,504,181,302
2,2,0.5,0.2,30,"GEV(1, 1)",0.475066667,0.02565732,0.994,0.581,0.334,0,6,0,994,1,378,40,581,3,507,156,334
2,4,0.5,0,30,"GEV(1, 1)",0.500466667,0.004944727,0.961,0.535,0.387,0,39,0,961,0,462,3,535,0,607,6,387
